,Unnamed: 0,row,set,Start_Lat,Start_Lng,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Severity,Temperature(F),WindChill(F),Humidity(%),Pressure(in),Visibility(mi),WindSpeed(mph),Precipitation(in),Duration_hours,Rain_Event,Snow_Event,Fog_Event,Thunderstorm_Event,Hail_Event,Tornado_Event
0,0,255,0,0.9866990069453692,1.247284373588131,0.0711201476111121,-0.7066210688476964,0.0267889106296424,1.3898404012085974,-1.4555799416646498,-1.617296326539244,-1.7141608138590572,0.1385220663652781,1.1978224533821424,0.4565017600722513,0.0106246810099113,-0.1028233879668304,0.0170983896109349,0.0,0.0,0.0,0.0,0.0,0.0
1,1,255,0,0.9853435713225184,1.2478425040382282,-0.0011284778080202,-0.7066210688476964,0.2565167529118527,1.3898404012085974,-0.1468592457865423,-1.617296326539244,-1.7141608138590572,0.1385220663652781,1.1978224533821424,0.4565017600722513,0.0106246810099113,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
2,2,255,0,0.9910159227202822,1.2463314778780736,-0.3824410503074647,-0.7066210688476964,-0.2029389316525677,1.3898404012085974,-1.4555799416646498,-1.566688508957285,-1.434560854302216,0.09363145321378,1.214947184618295,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
3,3,255,0,0.9853435713225184,1.2478425040382282,-0.1576673576098188,-0.7066210688476964,0.2565167529118527,1.3898404012085974,-0.1468592457865423,-1.617296326539244,-1.7141608138590572,0.1385220663652781,1.1978224533821424,0.4565017600722513,0.0106246810099113,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
4,4,255,0,0.995663596233124,1.2474846370791413,-0.1215429492034134,-0.1900736720172506,0.4862445951940629,1.3898404012085974,-0.1468592457865423,-1.617296326539244,-1.7141608138590572,0.1385220663652781,1.1978224533821424,0.4565017600722513,0.0106246810099113,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
5,5,255,0,1.6478166147989946,0.452776656996911,1.2070301443660365,-0.7066210688476964,-0.2029389316525677,-1.1822922089470431,-1.4555799416646498,-1.7691197792851208,-1.9378407815045304,0.5874281978802591,-0.4290270140526931,0.4565017600722513,0.0106246810099113,-0.1028233879668304,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
6,6,255,0,1.0780080839497497,1.0803927767523762,-0.5670766177722592,-0.4483473704324735,-0.4326667739347779,1.3898404012085974,-1.4555799416646498,-0.1500347881596004,0.2663146665471244,-0.2476775240703009,-0.5667625893248283,0.0698512449381822,0.0362050362160249,-0.0790826667590213,-0.3218086351549352,0.0,0.0,0.0,0.0,0.0,0.0
7,7,255,0,1.075689328399158,1.0814811020304589,0.7253722587844632,0.0682000263979722,0.2565167529118527,0.1037740961307769,-0.1468592457865423,-0.1500347881596004,0.2663146665471244,-0.2476775240703009,-0.5667625893248283,0.0698512449381822,0.0362050362160249,-0.0790826667590213,0.1858487753864718,0.0,0.0,0.0,0.0,0.0,0.0
8,8,255,0,1.0780080839497497,1.0803927767523762,-0.5670766177722592,-0.7066210688476964,-0.6623946162169881,0.1037740961307769,-1.4555799416646498,-0.1500347881596004,0.2663146665471244,-0.2476775240703009,-0.5667625893248283,0.0698512449381822,0.0362050362160249,-0.0790826667590213,1.2152261286172472,0.0,0.0,0.0,0.0,0.0,0.0
9,9,255,0,1.0755687216645733,1.0815223652722858,-0.1616811701331038,-0.4483473704324735,-0.4326667739347779,0.1037740961307769,-1.4555799416646498,-0.1500347881596004,0.2663146665471244,-0.2476775240703009,-0.5667625893248283,0.0698512449381822,0.0362050362160249,-0.0790826667590213,-0.1600895154533784,0.0,0.0,0.0,0.0,0.0,0.0
10,10,255,0,0.6598321304764981,1.082333196704064,-0.0573219488308513,-0.7066210688476964,-0.2029389316525677,0.1037740961307769,-1.4555799416646498,-1.566688508957285,-1.434560854302216,0.3629751321227686,1.2320719158544542,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,-0.4272776262646454,0.0,0.0,0.0,0.0,0.0,0.0
11,11,255,0,0.7004463045398902,1.0809735466962245,0.789593259157025,-0.7066210688476964,0.0267889106296424,0.1037740961307769,-1.4555799416646498,-1.3642572386294494,-1.1549608947453749,-0.1308216125437105,1.06082460349289,0.4565017600722513,-0.7892074397144313,-0.1028233879668304,0.4305368347610004,0.0,0.0,0.0,0.0,0.0,0.0
